WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,2024-12-29,WTA250,Outdoor,Hard,1st Round,3,Hibino N.,Niemeier J.,145.0,89.0,496.0,816.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.91,1.91,1.86,2.01,1.91,2.01,1.84,1.95
1,Auckland,ASB Classic,2024-12-29,WTA250,Outdoor,Hard,1st Round,3,Tauson C.,Stefanini L.,50.0,146.0,1070.0,494.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.5,2.63,1.52,2.67,1.53,2.67,1.5,2.56
1,Auckland,ASB Classic,2024-12-30,WTA250,Outdoor,Hard,1st Round,3,Marino R.,Sun L.,102.0,40.0,756.0,1300.0,6.0,3.0,3.0,6.0,6.0,3.0,2.0,1.0,Completed,1.91,1.91,2.04,1.84,2.04,1.91,1.94,1.84
1,Auckland,ASB Classic,2024-12-30,WTA250,Outdoor,Hard,1st Round,3,Pera B.,Jimenez Kasintseva V.,71.0,156.0,896.0,465.0,6.0,2.0,7.0,5.0,,,2.0,0.0,Completed,1.57,2.38,1.63,2.39,1.63,2.44,1.59,2.32
1,Auckland,ASB Classic,2024-12-30,WTA250,Outdoor,Hard,1st Round,3,Osaka N.,Glushko L.,57.0,220.0,1014.0,323.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.06,10.0,1.08,9.69,1.08,13.0,1.06,8.96
1,Auckland,ASB Classic,2024-12-30,WTA250,Outdoor,Hard,1st Round,3,Grabher J.,Romero Gormaz L.,470.0,158.0,112.0,459.0,2.0,6.0,6.0,3.0,7.0,6.0,2.0,1.0,Completed,2.5,1.53,2.63,1.53,2.63,1.54,2.5,1.51
1,Auckland,ASB Classic,2024-12-30,WTA250,Outdoor,Hard,1st Round,3,Li A.,Stephens S.,96.0,74.0,787.0,882.0,5.0,7.0,6.0,4.0,6.0,4.0,2.0,1.0,Completed,1.67,2.2,1.59,2.47,1.68,2.47,1.61,2.29
1,Auckland,ASB Classic,2024-12-30,WTA250,Outdoor,Hard,1st Round,3,Volynets K.,Andreeva E.,58.0,83.0,991.0,838.0,6.0,4.0,6.0,7.0,6.0,2.0,2.0,1.0,Completed,2.1,1.73,2.03,1.85,2.1,1.91,1.99,1.8
1,Auckland,ASB Classic,2024-12-30,WTA250,Outdoor,Hard,1st Round,3,Cristian J.,Starodubtseva Y.,85.0,101.0,832.0,762.0,6.0,3.0,2.0,0.0,,,1.0,0.0,Retired,2.3,1.62,2.32,1.66,2.33,1.73,2.26,1.62
1,Auckland,ASB Classic,2024-12-30,WTA250,Outdoor,Hard,1st Round,3,Kenin S.,Wang Xiy.,81.0,98.0,848.0,774.0,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,1.8,2.0,1.84,2.04,2.0,2.12,1.85,1.93
1,Auckland,ASB Classic,2024-12-31,WTA250,Outdoor,Hard,1st Round,3,Baptiste H.,Jamrichova R.,92.0,372.0,805.0,164.0,6.0,0.0,6.0,2.0,,,2.0,0.0,Completed,1.4,3.0,1.41,3.09,1.44,3.09,1.4,2.89
1,Auckland,ASB Classic,2024-12-31,WTA250,Outdoor,Hard,1st Round,3,Keys M.,Bronzetti L.,21.0,73.0,2126.0,887.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.2,4.5,1.22,4.64,1.22,6.0,1.19,4.57
1,Auckland,ASB Classic,2024-12-31,WTA250,Outdoor,Hard,1st Round,3,Minnen G.,Friedsam A.L.,95.0,528.0,791.0,91.0,6.0,4.0,6.0,0.0,,,2.0,0.0,Completed,1.5,2.63,1.57,2.51,1.57,2.63,1.52,2.48
1,Auckland,ASB Classic,2024-12-31,WTA250,Outdoor,Hard,1st Round,3,Burrage J.,Yang V.,179.0,1139.0,398.0,11.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.13,6.0,,,1.14,6.0,1.12,5.71
1,Auckland,ASB Classic,2024-12-31,WTA250,Outdoor,Hard,1st Round,3,Montgomery R.,Hontama M.,117.0,157.0,639.0,459.0,6.0,0.0,2.0,6.0,6.0,0.0,2.0,1.0,Completed,1.44,2.75,1.52,2.62,1.52,3.05,1.45,2.69
